=== DLL Injected into Minecraft ===
=== VimeWorld AutoMapper Started ===
Class map: net/minecraft/world/biome/WorldChunkManagerHell -> aef
Class map: net/minecraft/world/biome/BiomeGenForest -> aeg
Class map: net/minecraft/world/biome/BiomeGenForest$2 -> aeg$1
Class map: net/minecraft/world/biome/BiomeGenForest$1 -> aeg$2
Class map: net/minecraft/world/biome/BiomeGenHell -> aeh
Class map: net/minecraft/world/biome/BiomeGenSnow -> aei
Class map: net/minecraft/world/biome/BiomeGenJungle -> aej
Class map: net/minecraft/world/biome/BiomeGenMesa -> aek
Class map: net/minecraft/world/biome/BiomeGenMushroomIsland -> ael
Class map: net/minecraft/world/biome/BiomeGenMutated -> aem
Class map: net/minecraft/world/biome/BiomeGenOcean -> aen
Class map: net/minecraft/world/biome/BiomeGenPlains -> aeo
Class map: net/minecraft/world/biome/BiomeGenRiver -> aeq
Class map: net/minecraft/world/biome/BiomeGenSavanna -> aer
Class map: net/minecraft/world/biome/BiomeGenSavanna$Mutated -> aer$a
Class map: net/minecraft/world/biome/BiomeGenStoneBeach -> aes
Class map: net/minecraft/world/biome/BiomeGenSwamp -> aet
Class map: net/minecraft/world/biome/BiomeGenTaiga -> aeu
Class map: net/minecraft/world/biome/BiomeGenEnd -> aev
Class map: net/minecraft/world/biome/BiomeEndDecorator -> aew
Class map: net/minecraft/block/BlockAir -> aey
Class map: net/minecraft/block/BlockAnvil -> aez
Class map: net/minecraft/block/BlockAnvil$Anvil -> aez$a
Class map: net/minecraft/command/CommandFill -> af
Class map: net/minecraft/block/BlockBanner -> afa
Class map: net/minecraft/block/BlockBanner$1 -> afa$1
Class map: net/minecraft/block/BlockBanner$BlockBannerStanding -> afa$a
Class map: net/minecraft/block/BlockBanner$BlockBannerHanging -> afa$b
Class map: net/minecraft/block/BlockBarrier -> afb
Class map: net/minecraft/block/BlockContainer -> afc
Class map: net/minecraft/block/BlockBasePressurePlate -> afd
Class map: net/minecraft/block/BlockRailBase -> afe
Class map: net/minecraft/block/BlockRailBase$1 -> afe$1
Class map: net/minecraft/block/BlockRailBase$Rail -> afe$a
Class map: net/minecraft/block/BlockRailBase$EnumRailDirection -> afe$b
Class map: net/minecraft/block/BlockBeacon -> aff
Class map: net/minecraft/block/BlockBeacon$1 -> aff$1
Class map: net/minecraft/block/BlockBeacon$1$1 -> aff$1$1
Class map: net/minecraft/block/BlockBed -> afg
Class map: net/minecraft/block/BlockBed$EnumPartType -> afg$a
Class map: net/minecraft/block/Block -> afh
Class map: net/minecraft/block/Block$1 -> afh$1
Class map: net/minecraft/block/Block$2 -> afh$2
Class map: net/minecraft/block/Block$3 -> afh$3
Class map: net/minecraft/block/Block$4 -> afh$4
Class map: net/minecraft/block/Block$EnumOffsetType -> afh$a
Class map: net/minecraft/block/Block$SoundType -> afh$b
Class map: net/minecraft/init/Blocks -> afi
Class map: net/minecraft/block/IGrowable -> afj
Class map: net/minecraft/block/BlockBookshelf -> afk
Class map: net/minecraft/block/BlockBrewingStand -> afl
Class map: net/minecraft/block/BlockBush -> afm
Class map: net/minecraft/block/BlockButton -> afn
Class map: net/minecraft/block/BlockButton$1 -> afn$1
Class map: net/minecraft/block/BlockCactus -> afo
Class map: net/minecraft/block/BlockCake -> afp
Class map: net/minecraft/block/BlockCarrot -> afq
Class map: net/minecraft/block/BlockCauldron -> afr
Class map: net/minecraft/block/BlockChest -> afs
Class map: net/minecraft/block/BlockClay -> aft
Class map: net/minecraft/block/BlockCocoa -> afu
Class map: net/minecraft/block/BlockCocoa$1 -> afu$1
Class map: net/minecraft/block/BlockColored -> afv
Class map: net/minecraft/block/BlockCommandBlock -> afw
Class map: net/minecraft/block/BlockRedstoneComparator -> afx
Class map: net/minecraft/block/BlockRedstoneComparator$1 -> afx$1
Class map: net/minecraft/block/BlockRedstoneComparator$Mode -> afx$a
Class map: net/minecraft/block/BlockWorkbench -> afy
Class map: net/minecraft/block/BlockWorkbench$InterfaceCraftingTable -> afy$a
Class map: net/minecraft/block/BlockCrops -> afz
Class map: net/minecraft/command/CommandDifficulty -> ag
Class map: net/minecraft/block/BlockDaylightDetector -> aga
Class map: net/minecraft/block/BlockDeadBush -> agb
Class map: net/minecraft/block/BlockRailDetector -> agc
Class map: net/minecraft/block/BlockRailDetector$1 -> agc$1
Class map: net/minecraft/block/BlockRedstoneDiode -> agd
Class map: net/minecraft/block/BlockDirectional -> age
Class map: net/minecraft/block/BlockDirt -> agf
Class map: net/minecraft/block/BlockDirt$DirtType -> agf$a
Class map: net/minecraft/block/BlockDispenser -> agg
Class map: net/minecraft/block/BlockDoor -> agh
Class map: net/minecraft/block/BlockDoor$EnumDoorHalf -> agh$a
Class map: net/minecraft/block/BlockDoor$EnumHingePosition -> agh$b
Class map: net/minecraft/block/BlockDoublePlant -> agi
Class map: net/minecraft/block/BlockDoublePlant$EnumBlockHalf -> agi$a
Class map: net/minecraft/block/BlockDoublePlant$EnumPlantType -> agi$b
Class map: net/minecraft/block/BlockDragonEgg -> agj
Class map: net/minecraft/block/BlockDropper -> agk
Class map: net/minecraft/block/BlockDynamicLiquid -> agl
Class map: net/minecraft/block/BlockEnchantmentTable -> agm
Class map: net/minecraft/block/BlockEndPortal -> agn
Class map: net/minecraft/block/BlockEndPortalFrame -> ago
Class map: net/minecraft/block/BlockEnderChest -> agp
Class map: net/minecraft/block/ITileEntityProvider -> agq
Class map: net/minecraft/block/BlockFalling -> agr
Class map: net/minecraft/block/BlockFarmland -> ags
Class map: net/minecraft/block/BlockFarmland$1 -> ags$1
Class map: net/minecraft/block/BlockFence -> agt
Class map: net/minecraft/block/BlockFenceGate -> agu
Class map: net/minecraft/block/BlockFire -> agv
Class map: net/minecraft/block/BlockFlower -> agw
Class map: net/minecraft/block/BlockFlower$1 -> agw$1
Class map: net/minecraft/block/BlockFlower$EnumFlowerType -> agw$a
Class map: net/minecraft/block/BlockFlower$EnumFlowerType$1 -> agw$a$1
Class map: net/minecraft/block/BlockFlower$EnumFlowerColor -> agw$b
Class map: net/minecraft/block/BlockFlowerPot -> agx
Class map: net/minecraft/block/BlockFlowerPot$1 -> agx$1
Class map: net/minecraft/block/BlockFlowerPot$EnumFlowerType -> agx$a
Class map: net/minecraft/block/BlockDoubleStoneSlabNew -> agy
Class map: net/minecraft/block/BlockDoubleStoneSlab -> agz
Class map: net/minecraft/command/CommandGameMode -> ah
Class map: net/minecraft/block/BlockDoubleWoodSlab -> aha
Class map: net/minecraft/block/BlockFurnace -> ahb
Class map: net/minecraft/block/BlockFurnace$1 -> ahb$1
Class map: net/minecraft/block/BlockGlass -> ahc
Class map: net/minecraft/block/BlockGlowstone -> ahd
Class map: net/minecraft/block/BlockGrass -> ahe
Class map: net/minecraft/block/BlockGravel -> ahf
Class map: net/minecraft/block/BlockHalfStoneSlabNew -> ahg
Class map: net/minecraft/block/BlockSlab -> ahh
Class map: net/minecraft/block/BlockSlab$EnumBlockHalf -> ahh$a
Class map: net/minecraft/block/BlockHalfStoneSlab -> ahi
Class map: net/minecraft/block/BlockBreakable -> ahj
Class map: net/minecraft/block/BlockHalfWoodSlab -> ahk
Class map: net/minecraft/block/BlockHardenedClay -> ahl
Class map: net/minecraft/block/BlockHay -> ahm
Class map: net/minecraft/block/BlockHopper -> ahn
Class map: net/minecraft/block/BlockHopper$1 -> ahn$1
Class map: net/minecraft/block/BlockHugeMushroom -> aho
Class map: net/minecraft/block/BlockHugeMushroom$1 -> aho$1
Class map: net/minecraft/block/BlockHugeMushroom$EnumType -> aho$a
Class map: net/minecraft/block/BlockIce -> ahp
Class map: net/minecraft/block/BlockJukebox -> ahq
Class map: net/minecraft/block/BlockJukebox$TileEntityJukebox -> ahq$a
Class map: net/minecraft/block/BlockLadder -> ahr
Class map: net/minecraft/block/BlockLadder$1 -> ahr$1
Class map: net/minecraft/block/BlockLeaves -> ahs
Class map: net/minecraft/block/BlockLever -> ahu
Class map: net/minecraft/block/BlockLever$1 -> ahu$1
Class map: net/minecraft/block/BlockLever$EnumOrientation -> ahu$a
Class map: net/minecraft/block/BlockLiquid -> ahv
Class map: net/minecraft/block/BlockLog -> ahw
Class map: net/minecraft/block/BlockLog$1 -> ahw$1
Class map: net/minecraft/block/BlockLog$EnumAxis -> ahw$a
Class map: net/minecraft/block/BlockMelon -> ahx
Class map: net/minecraft/block/BlockMobSpawner -> ahy
Class map: net/minecraft/block/BlockSilverfish -> ahz
Class map: net/minecraft/block/BlockSilverfish$1 -> ahz$1
Class map: net/minecraft/block/BlockSilverfish$EnumType -> ahz$a
Class map: net/minecraft/block/BlockSilverfish$EnumType$1 -> ahz$a$1
Class map: net/minecraft/block/BlockSilverfish$EnumType$2 -> ahz$a$2
Class map: net/minecraft/block/BlockSilverfish$EnumType$3 -> ahz$a$3
Class map: net/minecraft/block/BlockSilverfish$EnumType$4 -> ahz$a$4
Class map: net/minecraft/block/BlockSilverfish$EnumType$5 -> ahz$a$5
Class map: net/minecraft/block/BlockSilverfish$EnumType$6 -> ahz$a$6
Class map: net/minecraft/command/CommandGameRule -> ai
Class map: net/minecraft/block/BlockMushroom -> aia
Class map: net/minecraft/block/BlockMycelium -> aib
Class map: net/minecraft/block/BlockNetherBrick -> aic
Class map: net/minecraft/block/BlockNetherWart -> aid
Class map: net/minecraft/block/BlockNetherrack -> aie
Class map: net/minecraft/block/BlockNewLeaf -> aif
Class map: net/minecraft/block/BlockNewLeaf$1 -> aif$1
Class map: net/minecraft/block/BlockNewLog -> aig
Class map: net/minecraft/block/BlockNewLog$1 -> aig$1
Class map: net/minecraft/block/BlockNewLog$2 -> aig$2
Class map: net/minecraft/block/BlockStoneSlabNew -> aih
Class map: net/minecraft/block/BlockStoneSlabNew$EnumType -> aih$a
Class map: net/minecraft/block/BlockNote -> aii
Class map: net/minecraft/block/BlockObsidian -> aij
Class map: net/minecraft/block/BlockOldLeaf -> aik
Class map: net/minecraft/block/BlockOldLeaf$1 -> aik$1
Class map: net/minecraft/block/BlockOldLog -> ail
Class map: net/minecraft/block/BlockOldLog$1 -> ail$1
Class map: net/minecraft/block/BlockOldLog$2 -> ail$2
Class map: net/minecraft/block/BlockOre -> aim
Class map: net/minecraft/block/BlockPackedIce -> ain
Class map: net/minecraft/block/BlockPlanks -> aio
Class map: net/minecraft/block/BlockPlanks$EnumType -> aio$a
Class map: net/minecraft/block/BlockPortal -> aip
Class map: net/minecraft/block/BlockPortal$Size -> aip$a
Class map: net/minecraft/block/BlockPotato -> aiq
Class map: net/minecraft/block/BlockCompressedPowered -> air
Class map: net/minecraft/block/BlockRailPowered -> ais
Class map: net/minecraft/block/BlockRailPowered$1 -> ais$1
Class map: net/minecraft/block/BlockRailPowered$2 -> ais$2
Class map: net/minecraft/block/BlockPressurePlate -> ait
Class map: net/minecraft/block/BlockPressurePlate$1 -> ait$1
Class map: net/minecraft/block/BlockPressurePlate$Sensitivity -> ait$a
Class map: net/minecraft/block/BlockPrismarine -> aiu
Class map: net/minecraft/block/BlockPrismarine$EnumType -> aiu$a
Class map: net/minecraft/block/BlockPumpkin -> aiv
Class map: net/minecraft/block/BlockPumpkin$1 -> aiv$1
Class map: net/minecraft/block/BlockQuartz -> aiw
Class map: net/minecraft/block/BlockQuartz$1 -> aiw$1
Class map: net/minecraft/block/BlockQuartz$EnumType -> aiw$a
Class map: net/minecraft/block/BlockRail -> aix
Class map: net/minecraft/block/BlockRedFlower -> aiy
Class map: net/minecraft/block/BlockRedSandstone -> aiz
Class map: net/minecraft/block/BlockRedSandstone$EnumType -> aiz$a
Class map: net/minecraft/command/CommandGive -> aj
Class map: net/minecraft/block/BlockRedstoneOre -> aja
Class map: net/minecraft/block/BlockRedstoneWire -> ajb
Class map: net/minecraft/block/BlockRedstoneWire$EnumAttachPosition -> ajb$a
Class map: net/minecraft/block/BlockRedstoneLight -> ajc
Class map: net/minecraft/block/BlockRedstoneTorch -> ajd
Class map: net/minecraft/block/BlockRedstoneTorch$Toggle -> ajd$a
Class map: net/minecraft/block/BlockReed -> aje
Class map: net/minecraft/block/BlockRedstoneRepeater -> ajf
Class map: net/minecraft/block/BlockRotatedPillar -> ajg
Class map: net/minecraft/block/BlockSand -> ajh
Class map: net/minecraft/block/BlockSand$EnumType -> ajh$a
Class map: net/minecraft/block/BlockSandStone -> aji
Class map: net/minecraft/block/BlockSandStone$EnumType -> aji$a
Class map: net/minecraft/block/BlockSapling -> ajj
Class map: net/minecraft/block/BlockSapling$1 -> ajj$1
Class map: net/minecraft/block/BlockSeaLantern -> ajk
Class map: net/minecraft/block/BlockSign -> ajl
Class map: net/minecraft/block/BlockSkull -> ajm
Class map: net/minecraft/block/BlockSkull$1 -> ajm$1
Class map: net/minecraft/block/BlockSkull$2 -> ajm$2
Class map: net/minecraft/block/BlockSlime -> ajn
Class map: net/minecraft/block/BlockSnowBlock -> ajo
Class map: net/minecraft/block/BlockSnow -> ajp
Class map: net/minecraft/block/BlockSoulSand -> ajq
Class map: net/minecraft/block/BlockSponge -> ajr
Class map: net/minecraft/block/BlockStainedGlass -> ajs
Class map: net/minecraft/block/BlockStainedGlassPane -> ajt
Class map: net/minecraft/block/BlockStairs -> aju
Class map: net/minecraft/block/BlockStairs$EnumHalf -> aju$a
Class map: net/minecraft/block/BlockStairs$EnumShape -> aju$b
Class map: net/minecraft/block/BlockStandingSign -> ajv
Class map: net/minecraft/block/BlockStaticLiquid -> ajw
Class map: net/minecraft/block/BlockStem -> ajx
Class map: net/minecraft/block/BlockStem$1 -> ajx$1
Class map: net/minecraft/block/BlockStone -> ajy
Class map: net/minecraft/block/BlockStone$EnumType -> ajy$a
Class map: net/minecraft/block/BlockStoneBrick -> ajz
Class map: net/minecraft/block/BlockStoneBrick$EnumType -> ajz$a
Class map: net/minecraft/command/CommandHelp -> ak
Class map: net/minecraft/block/BlockButtonStone -> aka
Class map: net/minecraft/block/BlockStoneSlab -> akb
Class map: net/minecraft/block/BlockStoneSlab$EnumType -> akb$a
Class map: net/minecraft/block/BlockTallGrass -> akc
Class map: net/minecraft/block/BlockTallGrass$EnumType -> akc$a
Class map: net/minecraft/block/BlockPane -> akd
Class map: net/minecraft/block/BlockTNT -> ake
Class map: net/minecraft/block/BlockTorch -> akf
Class map: net/minecraft/block/BlockTorch$1 -> akf$1
Class map: net/minecraft/block/BlockTorch$2 -> akf$2
Class map: net/minecraft/block/BlockLeavesBase -> akg
Class map: net/minecraft/block/BlockTrapDoor -> akh
Class map: net/minecraft/block/BlockTrapDoor$1 -> akh$1
Class map: net/minecraft/block/BlockTrapDoor$DoorHalf -> akh$a
Class map: net/minecraft/block/BlockTripWire -> aki
Class map: net/minecraft/block/BlockTripWireHook -> akj
Class map: net/minecraft/block/BlockTripWireHook$1 -> akj$1
Class map: net/minecraft/block/BlockVine -> akk
Class map: net/minecraft/block/BlockVine$1 -> akk$1
Class map: net/minecraft/block/BlockWall -> akl
Class map: net/minecraft/block/BlockWall$EnumType -> akl$a
Class map: net/minecraft/block/BlockWallSign -> akm
Class map: net/minecraft/block/BlockWallSign$1 -> akm$1
Class map: net/minecraft/block/BlockLilyPad -> akn
Class map: net/minecraft/block/BlockWeb -> ako
Class map: net/minecraft/block/BlockPressurePlateWeighted -> akp
Class map: net/minecraft/block/BlockButtonWood -> akq
Class map: net/minecraft/block/BlockWoodSlab -> akr
Class map: net/minecraft/block/BlockCarpet -> aks
Class map: net/minecraft/block/BlockYellowFlower -> akt
Class map: net/minecraft/tileentity/TileEntityBanner -> aku
Class map: net/minecraft/tileentity/TileEntityBanner$EnumBannerPattern -> aku$a
Class map: net/minecraft/tileentity/TileEntityBeacon -> akv
Class map: net/minecraft/tileentity/TileEntityBeacon$BeamSegment -> akv$a
Class map: net/minecraft/tileentity/TileEntity -> akw
Class map: net/minecraft/tileentity/TileEntity$1 -> akw$1
Class map: net/minecraft/tileentity/TileEntity$2 -> akw$2
Class map: net/minecraft/tileentity/TileEntity$3 -> akw$3
Class map: net/minecraft/tileentity/TileEntityBrewingStand -> akx
Class map: net/minecraft/tileentity/TileEntityChest -> aky
Class map: net/minecraft/tileentity/TileEntityChest$1 -> aky$1
Class map: net/minecraft/tileentity/TileEntityCommandBlock -> akz
Class map: net/minecraft/tileentity/TileEntityCommandBlock$1 -> akz$1
Class map: net/minecraft/command/CommandServerKick -> al
Class map: net/minecraft/tileentity/TileEntityComparator -> ala
Class map: net/minecraft/tileentity/TileEntityDaylightDetector -> alb
Class map: net/minecraft/tileentity/TileEntityDispenser -> alc
Class map: net/minecraft/tileentity/TileEntityDropper -> ald
Class map: net/minecraft/tileentity/TileEntityEnchantmentTable -> ale
Class map: net/minecraft/tileentity/TileEntityEnderChest -> alf
Class map: net/minecraft/tileentity/TileEntityFlowerPot -> alg
Class map: net/minecraft/tileentity/TileEntityFurnace -> alh
Class map: net/minecraft/tileentity/IHopper -> ali
Class map: net/minecraft/tileentity/TileEntityHopper -> alj
Class map: net/minecraft/tileentity/TileEntityLockable -> alk
Class map: net/minecraft/tileentity/TileEntityMobSpawner -> all
Class map: net/minecraft/tileentity/TileEntityMobSpawner$1 -> all$1
Class map: net/minecraft/tileentity/TileEntityNote -> alm
Class map: net/minecraft/tileentity/TileEntitySign -> aln
Class map: net/minecraft/tileentity/TileEntitySign$1 -> aln$1
Class map: net/minecraft/tileentity/TileEntitySign$2 -> aln$2
Class map: net/minecraft/tileentity/TileEntitySkull -> alo
Class map: net/minecraft/tileentity/TileEntityEndPortal -> alp
Class map: net/minecraft/block/BlockPistonBase -> als
Class map: net/minecraft/block/BlockPistonBase$1 -> als$1
Class map: net/minecraft/block/BlockPistonExtension -> alt
Class map: net/minecraft/block/BlockPistonExtension$1 -> alt$1
Class map: net/minecraft/block/BlockPistonExtension$EnumPistonType -> alt$a
Class map: net/minecraft/tileentity/TileEntityPiston -> alu
Class map: net/minecraft/tileentity/TileEntityPiston$1 -> alu$1
Class map: net/minecraft/block/BlockPistonMoving -> alv
Class map: net/minecraft/block/state/BlockPistonStructureHelper -> alw
Class map: net/minecraft/block/state/BlockStateBase -> aly
Class map: net/minecraft/block/state/BlockStateBase$1 -> aly$1
Class map: net/minecraft/block/state/IBlockState -> alz
Class map: net/minecraft/command/CommandKill -> am
Class map: net/minecraft/block/state/BlockState -> ama
Class map: net/minecraft/block/state/BlockState$1 -> ama$1
Class map: net/minecraft/block/state/BlockState$2 -> ama$2
Class map: net/minecraft/block/state/BlockState$StateImplementation -> ama$a
Class map: net/minecraft/block/state/BlockWorldState -> amc
Class map: net/minecraft/block/state/BlockWorldState$1 -> amc$1
Class map: net/minecraft/block/state/pattern/BlockPattern -> amd
Class map: net/minecraft/block/state/pattern/BlockPattern$CacheLoader -> amd$a
Class map: net/minecraft/block/state/pattern/BlockPattern$PatternHelper -> amd$b
Class map: net/minecraft/block/state/pattern/FactoryBlockPattern -> ame
Class map: net/minecraft/block/state/pattern/BlockHelper -> amg
Class map: net/minecraft/block/state/pattern/BlockStateHelper -> amh
Class map: net/minecraft/block/properties/PropertyHelper -> amj
Class map: net/minecraft/block/properties/PropertyBool -> amk
Class map: net/minecraft/block/properties/PropertyDirection -> aml
Class map: net/minecraft/block/properties/PropertyEnum -> amm
Class map: net/minecraft/block/properties/PropertyInteger -> amn
Class map: net/minecraft/block/properties/IProperty -> amo
Class map: net/minecraft/world/border/IBorderListener -> amq
Class map: net/minecraft/world/border/EnumBorderStatus -> amr
Class map: net/minecraft/world/border/WorldBorder -> ams
Class map: net/minecraft/world/chunk/IChunkProvider -> amv
